dataset,model,method,protocol,adapt_pool,test_pool,seed,val_id_mae,report_mae,error
gfp,lstm,pseudo_labeling,E1,T_close,T_close,42,0.6048869459629059,1.0884089422821999,
gfp,lstm,pseudo_labeling,E2,U_close,T_close,42,0.6048869459629059,1.0884089422821999,
gfp,lstm,pseudo_labeling,E3,U_close,T_far,42,0.6048869459629059,1.6279062430858613,
gfp,lstm,pseudo_labeling,E4,U_far,T_far,42,0.6048869459629059,1.6279062430858613,
gfp,lstm,pseudo_labeling,E5,T_far,T_far,42,0.6048869459629059,1.6279062430858613,
gfp,lstm,mean_teacher,E1,T_close,T_close,42,0.6142218054533005,1.0853234001994132,
gfp,lstm,mean_teacher,E2,U_close,T_close,42,0.6129016795158386,1.085747001707554,
gfp,lstm,mean_teacher,E3,U_close,T_far,42,0.6129016795158386,1.6160989524126053,
gfp,lstm,mean_teacher,E4,U_far,T_far,42,0.6135853673219681,1.61510191488266,
gfp,lstm,mean_teacher,E5,T_far,T_far,42,0.6137449468374252,1.614870760202408,
gfp,lstm,fixmatch,E1,T_close,T_close,42,0.6166017986536027,1.0845084734559058,
gfp,lstm,fixmatch,E2,U_close,T_close,42,0.6165982166528702,1.0845097388625144,
gfp,lstm,fixmatch,E3,U_close,T_far,42,0.6165982166528702,1.6107010536193849,
gfp,lstm,fixmatch,E4,U_far,T_far,42,0.6211707150936127,1.604100260734558,
gfp,lstm,fixmatch,E5,T_far,T_far,42,0.6190828034877777,1.6071186339855195,
